Search Terms,Categories,Sub-Categories
of genome-wide significance,Green,4.4.96 Genomewide Analysis
"Of note,",Green,4.4.97 Of importance
previously reported,Green,4.4.98 Prior Evidence
associations between,Green,4.3.3 Association
were not replicated,Green,4.5 Failure to Replicate
indicating,Green,4.5.01 Demonstrating
correlation between,Green,4.5.02 Correlation between
risk variant,Green,4.5.03 Disease contributing variant
a significantly improved prognosis,Green,4.5.04 Better Disease Outcome
supported a role,Green,4.2.04 Functional Role
deleterious,Green,4.3.43 Damaging
underlying,Green,4.4.78 Present in
facilitated the,Green,4.5.08 Enabled the
established causal genes,Green,4.5.09 Disease Causative Genes
harbour recurrent mutations,Green,4.5.1 Mutation Analysis
defects clustering within,Green,4.5.11 Genomic Localization
thereby expediting,Green,4.5.12 Facilitating
deleterious,Green,4.4.17 Disruptive
the precise determination of,Green,4.5.14 Precise Assessment
causal mutations,Green,4.2.02 Cause-Effect
"a progressive goal,",Green,4.5.16 Transformative Goal
identification of,Green,4.3.81 Identification
established role of heritable risk factors,Green,4.2.04 Functional Role
genetic data indicate that,Green,4.5.19 Genetic Evidence results in
differ between,Green,4.5.2 Different Genetic Traits
identification of,Green,4.2.34 Detection
specific genetic defects,Green,4.5.22 Specific Genetic Alterations
the elucidation of,Green,4.5.23 Unraveling of
has provided,Green,4.5.24 Has given us
the maintenance of,Green,4.5.25 Structural Integrity
enabled the,Green,4.5.26 Facilitated
identification of,Green,4.2.34 Detection
as has been demonstrated,Green,4.5.28 Previously Shown
activates BMP,Green,4.5.29 Induces Cellular Mechanism
BMP signalling,Green,4.5.3 Particular Mechanism
in vitro findings support the,Green,4.5.31 Supportive Evidence from In vitro studies
a known susceptibility factor for,Green,4.5.32 Known contributing factor
has been found to,Green,4.5.33 Shown to contribute
reverse cellular characteristics of disease,Green,4.5.34 Rescue cellular characteristics
the fundamental understanding of,Green,4.5.35 In-depth Characterization of
that are now accessible,Green,4.5.36 Readily found
progressive development of,Green,4.5.37 Improvement
have been identified.,Green,4.4.06 Identified in
occurs in an,Green,4.5.39 Is presently seen in
represent a significant,Green,4.5.4 Represents something significant
confer an established,Green,4.3.94 Provides Evidence 
identification of,Green,4.2.34 Detection
has demonstrated the,Green,4.5.43 Has shown the
these observations indicate,Green,4.5.44 Evidence shows
needs to,Green,4.5.45 Necessary for
for PAH to occur.,Green,4.5.46 Required Contribution to
remains a,Green,4.5.47 Continues to be
across implicated,Green,4.5.48 Present across the genome
are estimated to,Green,4.5.49 Are calculated to
comprise,Green,4.5.5 Include
"to be fully annotated,",Green,4.5.51 Fully Described
identification of,Green,4.2.34 Detection
to provide the,Green,4.5.53 To assist in
reliable determination of,Green,4.5.54 Reliable Assessment
the effect of,Green,4.2.02 Cause-Effect
to establish,Green,4.5.56 To assess
include,Green,4.5.57 To study
is an important factor,Green,4.3.65 Involved
to demonstrate,Green,4.5.59 To show
in vivo effects,Green,4.5.6 Effects in an animal model
In addition to,Green,4.5.61 On top of
to understanding,Green,4.5.62 To unraveling
clinical phenotyping.,Green,4.5.63 Clinical Outcomes
"patient transcriptomic, proteomic, metabolomic, coagulomic and cell biomic profiles,",Green,4.5.64 Comprehensive analysis of patient samples
improvements in,Green,4.5.65 Improvements in
to facilitate,Green,4.5.66 To facilitate
has evolved rapidly,Green,4.5.67 Rapid Progression
has facilitated the,Green,4.5.68 Has facilitated
highlighting important,Green,4.5.69 Outlining importance
predominant risk factor,Green,4.5.7 Predominant contributor to
the development of,Green,4.5.71 The progression of
identification of,Green,4.5.72 The determination of
primary molecular mechanism,Green,4.5.73 Major cellular pathway
now evolving into,Green,4.5.74 Changing to
development of,Green,4.5.75 Progression of
definitive molecular genetic diagnosis,Green,4.5.76 Criticial 
resulting in,Red,5.2.01 Frequency
our understanding of the,Red,5.2.02 Knowledge Gap
involved in,Red,5.2.03 Mechanistic Insights
evidence of,Red,5.2.04 New Evidence 
have clinical implications on,Red,5.2.03 Mechanistic Insight
but this definition has since,Red,5.2.06 Clinical Definition
largely indistinguishable,Red,5.2.07 Clinical Manifestation
although,Red,5.2.08 Unique manifestation
wherein the development and progression,Red,5.2.07 Clinical Manifestation
can be influenced by,Red,5.2.1 Development
in the future.,Red,5.2.11 New contribution
are predicted to,Red,5.2.12 Predicted Result
are most probably,Red,5.2.13 Probable Impact
most likely as a,Red,5.2.14 Most likely evidence
which affects a,Red,5.2.15 Impact on
is most likely,Red,5.2.03 Mechanistic Insight
thereby precluding,Red,5.2.04 Possibly contributing to
The limited analyses of,Red,5.2.05 Limited Analysis
further investigation,Red,5.2.06 Investigation
is required to establish,Red,5.2.04 New Evidence 
Despite the limitations of,Red,5.2.05 Limited Analysis
this study is important in that,Red,5.2.06 Relevance
potentially under-represented,Red,5.2.07 Missing Data
that revealed the need,Red,5.2.03 Mechanistic insight
evidence of,Red,5.2.04 Evidence for
a high likelihood of,Red,5.2.05 Possible Mechanism
have consequently,Red,5.2.11 New Contribution
albeit with the caveat,Red,5.2.12 Limited Evidence
were not explored,Red,5.2.05 Limited Analysis
the critical role of,Red,5.2.06 Contribution
have revolutionised,Red,5.2.11 New Contribution
the way in which,Red,5.2.12 Change in Perspective
is critical in,Red,5.2.33 Essential
Although,Red,5.2.34 Alternatives
is actually,Red,5.2.04 New Evidence 
not be predicted to undergo,Red,5.2.36 Unpredicted Function
thereby supporting,Red,5.2.37 Contributing to
molecular mechanism of disease in,Red,5.2.38 Contributing Mechanism to the Disease
Although,Red,5.2.34 Alternatives
has been implicated,Red,5.2.35 Implicated
suggesting that,Red,5.2.36 Suggestive of
"Of note,",Red,5.2.37 Critical Note
functional effect,Red,5.2.38 Cause-Effect
that probably cause,Red,5.2.39 Probable Cause
reinforces a pathological role,Red,5.2.4 Provides Evidence For
"Occasionally,",Red,5.2.41 Occassionally
potential pathogenic,Red,5.2.42 Potential Pathogenic
pathogenic role of,Red,5.2.43 Damaging Role
these data emphasise,Red,5.2.44 Data Highlights
the importance of,Red,5.2.45 Critical Role of
which is further,Red,5.2.46 Further Research
To advance,Red,5.2.47 To advance
our understanding of the,Red,5.2.48 Acquire Knowledge
our understanding of the,Red,5.2.49 Our understanding of
contribution to the disease,Red,5.2.5 Contributes to
probably reflecting,Red,5.2.51 Possibly Demonstrating
this observation requires,Red,5.2.46 Further Research
evidence of,Red,5.2.47 Evidence
all of which are predicted,Red,5.2.59 Predicted to Contribute
preliminary evidence suggests,Red,5.2.36 Suggestive of
further implicating the,Red,5.2.37 Implicating
involvement in,Red ,5.2.38 Involved in
likely important effect,Red,5.2.39 likely outcome
remain poorly understood,Red,5.2.4 Poorly understood
considered to be a,Red,5.2.41 Possible Result
consistent with,Red,5.2.42 Consistent with data
providing the potential for,Red,5.2.43 Potential Role
development of therapeutic options,Red,5.2.44 New Therapeutic Role
predicted to affect,Red,5.2.45 Possible Effect
are anticipated,Red,5.2.45 Possible Effect
to affect,Red,5.2.46 Has an effect on
are likely to result in,Red,5.2.47 Probable effect on
strongly implicated,Red,5.2.48 Included in
likely,Red,5.2.49 Similar
have critical functions,Red,5.2.5 Critical functions
is fundamental in,Red,5.2.51 Critical role in
however,Red,5.2.52 Something else matters
remain to be determined,Red,5.2.53 not known yet
Consistent with the,Red,5.2.54 Consistent evidence
In support,Red,5.2.55 In support of
The importance of,Red,5.2.56 Critical
yet to be fully defined.,Red,5.2.82 Gap
provide a compelling framework,Red,5.2.83 Foundational Results
of high impact in,Red,5.2.84 High impact
these findings provide,Red,5.2.85 Conclusions
important insights,Red,5.2.86 Insights
facilitating,Red,5.2.87 Facilitating
have long indicated a,Red,5.2.88 Clinical Demonstration
"In addition,",Red,5.2.89 Added evidence
is comparable between,Red,5.2.9 Comparable Manifestations
obviate the,Red,5.2.91 Obviate
restrictions of previous investigations,Red,5.2.92 Past evidence
has an important role,Red,5.2.93 Critical in
"in particular,",Red,5.2.94 Particularly Relevant to
significantly,Red,5.2.95 Significant
suggestive of a,Red,5.2.36 Suggestive of
was predicted to be,Red,5.2.37 Predicted Function
further indicating,Red,5.2.38 Further Demonstration
might be,Red,5.2.39 Possible Description
In addition to,Red,5.3.00 In addition to
being an important,Red,5.3.01 Critical Role
serve to underscore,Red,5.3.02 Critical Evidence
central importance of,Red,5.3.03 Central Importance of
supporting a,Red,5.3.04 Supporting
potential role for,Red,5.3.05 Potentially present in 
suggest that,Red,5.3.06 Suggest that
could be a novel,Red,5.3.07 Novel
further validation,Red,5.3.08 Further validation
unique in that,Red,5.3.09 Unique in that
might represent population-specific signals.,Red,5.3.1 Population Cohort
"in the regulation of gene expression,",Red,5.3.11 Control of
his finding suggests that,Red,5.2.36 Suggestive of
might predispose,Red,5.2.37 May Contribute to
"Moreover,",Red,5.2.38 More Evidence
that are likely to,Red,5.2.39 Most likely to
in contrast to,Red,5.2.4 As opposed to
predictions of pathogenicity,Red,5.2.36 Suggestive of
the American College of Medical Genetics and Genomics,Red,5.2.37 Research and Medical Institution
an opportunity for,Red,5.2.38 Opens the door for
will be critical to support,Red,5.2.39 Essential for
to facilitate,Red,5.2.4 To ensure
advocate,Red,5.2.41 Promote
consistent with international guidelines104.,Red,5.2.42 Internationally Recognized Ethical Guidelines
these correlations influence,Red,5.2.43 Relationships can contribute to disease
"features of disease,",Red ,5.2.44 Disease features
have the potential to,Red,5.2.45 Potential to result in
efficacious patient management.,Red,5.2.46 Treatment options
"Ultimately,",Red,5.3.28 Most importantly
provide options for,Red,5.3.29 Provide Options
key insights into the,Red,5.3.3 Key insights into
have been focused on,Red,5.3.31 Focused on
Although,Red,5.3.32 Although
potential restoration of,Red,5.3.33 Potential Rescue
to evaluate the feasibility of,Red,5.3.34 To Determine whether it is possible or not
"Critically,",Red,5.3.35 Of great relevance
has been integral to the,Red,5.3.36 Has played a role in 
Based on,Red,5.3.37 Provides Insights to 
lend promise to the,Red,5.3.38 Contribute to
is particularly relevant,Red,5.3.39 Of particular relevance
which suggests that,Red,5.2.36 Suggestive of
although,Red,5.3.32 Although
might be required,Red,5.3.33 Might be necessary for
likely existence of,Red,5.3.34 Likely presence of 
in concert with,Red,5.3.35 In conjunction with
might explain,Red,5.3.36 Might contribute to
Although,Red,5.3.37 Even though
"Indeed,",Red,5.3.38 In fact
remains to be,Red,5.3.39 Further Evidence
best interrogate the,Red,5.3.4 To determine
contribution of impaired,Red,5.3.5 Contribution of disregulated or disrupted
to disease precipitation,Red,5.3.51 Disease Precipitation
"Specifically,",Red,5.3.52 With particular attention
statistical power to advance,Red,5.3.53 Statistical power
Critically,Red,5.3.54 Of particular Importance
in the poorly characterized,Red,5.3.55 Present in 
an important first step,Red,5.3.56 First Step
is desirable.,Red,5.3.57 Is of imporance
are suspected,Red,5.3.58 Are suspected
might be of value,Red,5.3.59 Might be critical
will need to be,Red,5.3.6 Will need to be designed
the pathogenesis of,Red,5.3.61 Disease Cause
additional insights,Red,5.3.62 Additional Contributions
can be leveraged through,Red,5.3.63 Mechanism to leverage
with the aim of,Red,5.3.64 With the final goal
"Over the next few years,",Red,5.3.65 Near future
plan to,Red,5.3.66 Preparing to
providing a foundation,Red,5.3.67 Serves as foundation for the future
genetics of,Red,5.3.68 Genetics in patients with
that facilitate the,Red,5.3.69 Supports
Active collaboration between,Red,5.3.7 Active Collaboration
that will inform,Red,5.3.71 Inform
improve,red,5.3.72 Improve
will likely support,Red,5.3.73 Likely to support
the transition of,Red,5.3.74 Faciltitates transitioning into
there remains a substantial gap,Red,5.3.75 Substantial Gap
with regard to,Red,5.3.76 In relation to 
The continued efforts of,Red,5.3.77 Progressive efforts
to fully resolving the,Red,5.3.78 To solving
devastating disease.,Red,5.3.79 Dreadful disorder
