,before,word,after
200," Despite debates on the precision [ 59], this method is worthy of ",further investigation,  because of limited quantitative methods for in vivo  evaluation of total human eGC volume
201," In general, ",further investigation," of eGC  quantitative and qualitative structural measures, in conjunction with analytical methods of  function, are required"
202, An  effective inhibitor of eGC sheddases also requires ,further investigation,
203," With the increasing prevalence of heart  failure among ageing populations and necessity for developing diverse diagnostic and  treatment methods, the role of the eGC is a fascinating and potentially beneficial area that  requires ",further investigation,
204," When colloids were infused during  major surgery, ",The majority of," infused colloids extravasated, and the eGC volume was  significantly reduced regardless of the type of colloids"
205, ,The majority of," S1P is carried in serum albumin, and endothelial  cells contain abundant S1P receptors"
206,  used ex vivo  human coronary arteries to ,suggest that,  blood flow causes conformational changes of negatively charged glycosaminoglycan chains  from random coils to a filamentous state
207," Keywords endothelial glycocalyx; Cardiovascular Diseases; syndecan-1 (sdc1) INTRODUCTION Endothelial cells are covered with abundant proteoglycan complexes known as “endothelial  glycocalyx (eGC),” ",which is," comprised of transmembrane core proteins known as  syndecans, and polymers of glycosaminoglycans such as heparin sulfate, chondroitin sulfate,  and hyaluronans that branch from the highly sulfated and negatively-charged syndecan  cores"
208," Consequently, the eGC shedding facilitates more  adhesion of inflammatory cells to the endothelium, ",which is," followed by increased  endothelial permeability and propagation of inflammation [ 8, 9]"
209," Areas awaiting further investigation Evaluation of the amount of endothelial glycocalyx in situ —Due to optical  transparency and fragility of eGC, in vivo  virtual characteristics were primarily inferred  through existence of the “exclusion zone” of erythrocytes in the blood-perfused  microvessels, ",which is," observed with light microscopy [ 49, 50]"
210," Erythrocytes labeled with sodium fluorescein, ",which is,"  impermeable to the eGC, are used to quantify circulating plasma volume not included in the  eGC layer"
211, The endothelial dysfunction and vascular permeability can be ,identified," using flow-mediated  vascular dilation (FMD) and non-invasive measurement of microvascular leakage with strain  gauge plethysmography [ 65, 66]"
212," Potential restorer of endothelial glycocalyx— Albumin-containing solutions elicit  shear stress-dependent vasodilation, consequently lower fluid flux ",across the, vessel walls  more than other types of colloid fluids
213, Mechanotransduction and flow ,across the,  endothelial glycocalyx
214," [ 45, 47] In addition, the interpretation of the tests  requires special attention because the application of C-statistics ",often," eliminates established  risk factors from new models [ 60, 61], and net reclassification is often positive for even  weak markers, leading to overestimation of the real risk"
215," In particular, rapid freezing  of endothelial cells and use of a novel fixation solution, such as lanthanium (III)-nitrate/ glutaraldehyde, ",revealed a," thicker layer of eGC ex vivo , which was more efficacious  compared to preparation with a conventional fixation method for microscopic analysis [ 35,  52]"
